Station (alphabetical by borough),2013,2014,2015,2016,2017,2018,2017-2018 Change,2017-2018 Change2,2018 Rank
The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx,The Bronx
75 Av,"1,155,836","1,131,705","1,136,305","1,102,600","994,127","1,019,978","+25,851",+2.6%,349
75 St-Elderts    Ln,"1,138,544","1,172,162","1,196,186","1,187,714","1,069,608","992,267","-77,341",-7.2%,356
80 St,"1,310,413","1,507,116","1,465,264","1,098,234","1,346,296","1,332,047","-14,249",-1.1%,315
82 St-Jackson    Hts,"5,139,172","5,172,595","5,128,506","5,089,971","5,018,542","4,741,470","-277,072",-5.5%,97
85 St-Forest    Pkwy,"1,157,863","1,212,661","1,239,793","1,237,770","1,156,600","1,063,133","-93,467",-8.1%,342
88 St,"808,822","613,296","1,011,163","952,251","880,776","855,851","-24,925",-2.8%,371
90    St-Elmhurst Av,"5,513,135","5,480,059","5,489,630","5,471,961","5,460,868","5,245,160","-215,708",-4.0%,80
Aqueduct    Racetrack,"213,601","630,644","672,734","676,971","641,464","732,091","+90,627",+14.1%,385
Aqueduct-North    Conduit Av,"698,115","357,399","365,488","342,494","309,029","276,067","-32,962",-10.7%,417
Astoria Blvd,"3,962,838","3,914,637","3,926,062","3,894,399","3,988,480","4,226,298","+237,818",+6.0%,111
Astoria-Ditmars    Blvd,"5,405,084","5,416,919","5,407,027","5,429,314","5,031,462","4,543,854","-487,608",-9.7%,102
Beach 105 St,"48,916","82,980","99,254","95,469","97,654","92,852","-4,802",-4.9%,423
Beach 25 St,"267,585","519,843","570,312","601,116","582,975","543,839","-39,136",-6.7%,406
Beach 36 St,"143,400","272,799","296,860","305,816","298,395","275,165","-23,230",-7.8%,418
Beach 44 St,"91,331","181,758","197,543","212,440","214,473","216,609","+2,136",+1.0%,420
Beach 60 St,"406,698","772,376","801,015","794,595","726,189","630,038","-96,151",-13.2%,394
Beach 67    St-Arverne By The Sea,"357,807","701,784","799,134","811,248","792,444","669,421","-123,023",-15.5%,388
Beach 90 St,"194,416","306,284","333,006","335,515","411,887","382,766","-29,121",-7.1%,413
Beach 98 St,"100,594","200,197","214,040","203,795","180,588","154,620","-25,968",-14.4%,422
Briarwood-Van    Wyck Blvd,"1,427,813","1,427,017","1,479,278","1,515,926","1,489,396","1,462,744","-26,652",-1.8%,301
Broad Channel,"36,849","74,386","91,766","91,208","87,774","82,248","-5,526",-6.3%,424
